parent,child,description_parent,description_child
,root,,root
root,hcil,root,root/hcil
hcil,people,root/hcil,root/hcil/people
people,ara,root/hcil/people,root/hcil/people/ara
ara,ara-index.html,root/hcil/people/ara,root/hcil/people/ara/ara-index.html
people,catherine.html,root/hcil/people,root/hcil/people/catherine.html
hcil,research,root/hcil,root/hcil/research
research,research-1997,root/hcil/research,root/hcil/research/research-1997
research-1997,patientrecord.html,root/hcil/research/research-1997,root/hcil/research/research-1997/patientrecord.html
research,projects.html,root/hcil/research,root/hcil/research/projects.html
research,video96.html,root/hcil/research,root/hcil/research/video96.html
hcil,about,root/hcil,root/hcil/about
about,pictures,root/hcil/about,root/hcil/about/pictures
pictures,oh99,root/hcil/about/pictures,root/hcil/about/pictures/oh99
oh99,oh99-index.shtml,root/hcil/about/pictures/oh99,root/hcil/about/pictures/oh99/oh99-index.shtml
oh99,pic00045.jpg,root/hcil/about/pictures/oh99,root/hcil/about/pictures/oh99/pic00045.jpg
oh99,pic00046-small.jpg,root/hcil/about/pictures/oh99,root/hcil/about/pictures/oh99/pic00046-small.jpg
oh99,pic00046.jpg,root/hcil/about/pictures/oh99,root/hcil/about/pictures/oh99/pic00046.jpg
oh99,pic00047-small.jpg,root/hcil/about/pictures/oh99,root/hcil/about/pictures/oh99/pic00047-small.jpg
oh99,pic00047.jpg,root/hcil/about/pictures/oh99,root/hcil/about/pictures/oh99/pic00047.jpg
oh99,pic00049.jpg,root/hcil/about/pictures/oh99,root/hcil/about/pictures/oh99/pic00049.jpg
oh99,pic00050-small.jpg,root/hcil/about/pictures/oh99,root/hcil/about/pictures/oh99/pic00050-small.jpg
oh99,pic00050.jpg,root/hcil/about/pictures/oh99,root/hcil/about/pictures/oh99/pic00050.jpg
oh99,pic00051.jpg,root/hcil/about/pictures/oh99,root/hcil/about/pictures/oh99/pic00051.jpg
oh99,pic00052.jpg,root/hcil/about/pictures/oh99,root/hcil/about/pictures/oh99/pic00052.jpg
pictures,pic00047-small1.jpg,root/hcil/about/pictures,root/hcil/about/pictures/pic00047-small1.jpg
pictures,reddot.gif,root/hcil/about/pictures,root/hcil/about/pictures/reddot.gif
pictures,renovation,root/hcil/about/pictures,root/hcil/about/pictures/renovation
