CallNumber,Author,Title,ISBN,PubName,PubYear
F 1029.5.P47 B66,Robert J Bookmiller,Discovering the Arabian Gulf : Canada's evolving ties with the GCC states ,9948432185,Dubai : Gulf Research Center,2006
E183.8.I55 M65,Sid Moody and the News Staff and photographers of The Associated Press,444 days : The american hostage story ,0831745703;0831745711,New York : Rutledge Press,1981
E183.8.I7 W45,Tim Wells,444 days : the hostages remember ,015132803X;9780151328031,San Diego : Harcourt Brace Jovanovich,1985
JC328.2 .A385,Saïd K Aburish,A brutal friendship : the West and the Arab elite ,0575062754;9780575062757,London : Victor Gollancz,1997
JX1581.I7 M3,Abid A Al-Marayati ; Foreword  Waldo Chamberlin,A diplomatic history of modern Iraq ,,,1961
JX1581.I7 .M3;DS70.95 .A46,Foreword  Waldo Chamberlin,A diplomatic history of modern Iraq ,,New York : R Speller,1961
DS79.65 .A94,Frederick W Axelgard,A new Iraq? : the Gulf War and implications for US policy ,0275930130;9780275930134;0275930149;9780275930141,New York : Praeger,1988
E876 .D73,Theodore Draper,A very thin line : the Iran-Contra affairs ,0809096137 : $27.95;9780809096138;1855925575;9781855925571,New York : Hill and Wang,1991
JC599.K9 V53,Theodore Draper,A Victory turned sour : human rights in Kuwait since liberation,1564320413;9781564320414,New York,1991
F1432 .W312,Tord Wallström ; translated from the Swedish  MA Michael,A wayfarer in Central America ,,London : A Barker,1955
JQ1852.A58 A43;BP173.75 .A421,Muhammad Al-Buraey,Administrative development an Islamic perspective ,071030059X;9780710300591;0710303335;9780710303332,London ; Boston : KPI ; Boston,1985
E840.8.A19 A3,James G Abourezk,Advise & dissent : memoirs of South Dakota and the US Senate ,1556520662;9781556520662,Chicago,1989
E183.8.I8 N34,Khalil Nakhleh and Clifford A Wright,After the Palestine-Israel War : limits to US and Israeli policy ,0912031018;9780912031019,Belmont,1983
E183.8.I55 S53,Khalil Nakhleh and Clifford A Wright,All fall down : America's tragic encounter with Iran,0394544889;9780394544885,New York : Random House,1985
E183.8.E35 H65,Matthew F Holland,America and Egypt : from Roosevelt to Eisenhower ,0275954749;9780275954741,Westport,1996
E183.8.I55 A6,Matthew F Holland,American hostages in Iran the conduct of a crisis,300023332,London : Yale University Press,1985
E183.8.I55 A6,Warren Christopher [and others] ; with commentaries  Oscar Schachter, Abraham A Ribicoff ; under the editorial direction of Paul H Kreisberg,American hostages in Iran : the conduct of a crisis ,0300032331;9780300032338,New Haven : Yale University Press,1985
E183.8.I7 G54,Eytan Gilboa,American public opinion toward Israel and the Arab-Israeli conflict ,0669134260;9780669134261,Lexington,1987
E184.A65 A84,Brent Ashabranner ; photographs  Paul S Conklin,An ancient heritage :the Arab-American minority ,0060200480;9780060200480;0060200499;9780060200497;0397324340;9780397324347;0397324359;9780397324354,New York : HarperCollins,1991
JX4084.I8 S55,Bhim Singh & Angelina Helou,An examination of documents on which the State of Israel is based ,,Beirut,1970
JQ1830.A98 M545,Ilana Kaufman,Arab national communism in the Jewish state ,0813014786;9780813014784,Gainesville,1997
JA84.A6 H6,Ilana Kaufman,Arabic thought in the liberal age 1798-1939,,Issued under the auspices of the Royal Institute of International Affairs by Oxford University Press,1962
JX1974 .A69,Shai Feldman and Ariel Levite, eds,Arms control and the new Middle East security environment ,9654590115;9789654590112,Jerusalem : Jerusalem Post ; Boulder,1994
F1219.73 .B37,written  Elizabeth Baquedano ; photographed  Michel Zabé,Aztec ,0751360198;9780751360196,London : Dorling Kindersley,1993
E340.E18 .E39,Samuel Edwards,Barbary General : the life of William H Eaton ,,Englewood Cliffs,1968
E184.A65 O74,Gregory Orfalea,Before the flames : a quest for the history of Arab Americans ,292707487,Austin : University of Texas Press,1988
F801 .L23,Gregory Orfalea,Behind the mountains,,New York : Berkley Publishing,1962
JC599.S73 B44,Human Rights Watch,Behind the red line : political repression in Sudan ,1564321649;9781564321640,New York : Human Rights Watch,1996
JK468 .I6,Bob Woodward,Veil : the secret wars of the CIA 1981-1987 ,0671655434;9780671655433,London : Simon & Schuster,1987
E415.9.F8 .H67,Stanton Hope,Born to adventure : the true story of Haji Williamson : sea rover and desert nomad ,,London : Robert Hale,1958
E183.8 .S65,Arkady N Shevchenko,Breaking with Moscow ,224028049,London : Cape,1985
E183.8.I7 A74,Moshe Arens,Broken covenant : American foreign policy and the crisis between the US and Israel ,0671869647;9780671869649,New York : Simon & Schuster,1995
E183.8.T8 A4,David J Alvarez,Bureaucracy and cold war diplomacy : the United States and Turkey 1943-1946 ,,Thessaloniki : Institute for Balkan Studies,1980
JQ1825.P32 .N33,David Nachmias and David H Rosenbloom,Bureaucratic culture : citizens and administrators in Israel ,0856647918 : £8.95;9780856647918,London : Croom Helm,1978
DS371.2 .B9;JC599.A3 B9,David Nachmias and David H Rosenbloom,By all parties to the conflict : violations of the laws of war in Afghanistan,0938579584;9780938579588,New York,1988
E876 .H35,Alexander M Haig, Jr,Caveat : realism Reagan and foreign policy ,297785176,London : Weidenfeld and Nicolson,1984
JQ3215 1976 .J3,Front de libération nationale,Charte nationale 1976 ,,[Alger] République algérienne démocratique et populaire : Le Front,1976
E184.L34 A25,Elmaz Abinader,Children of the roojme : a family's journey ,0393029522;9780393029529,New York : Norton,1991
JQ1825.L44 B37,Iskandar E Bashir,Civil service reforms in Lebanon : an evaluation of the Lebanese civil service system with special emphasis on the role of the Civil Service Board ,,[Beirut] : American University of Beirut,1977
JQ1825.I773 S494,Rony Gabbay,Communism and agrarian reform in Iraq ,0856645672;9780856645679,London : Croom Helm,1978
JQ3592 .K5,Foreword  A Pelt,Constitutional development in Libya ,,Beirut,1956
JX1675 .C66,edited  Martin F Herz ; foreword  Peter F Krogh,Contacts with the opposition : a symposium in which 19 distinguished participants discuss experiences in Afghanistan Algeria Angola Cambodia Chile Cyprus Egypt France Greece Iran Iraq Italy Japan Korea Laos Lebanon Mexico Morocco Netherlands Pakistan Peru Philippines Saudi Arabia Spain Taiwan Thailand Turkey USSR Vietnam and Yemen ,0934742030 : $3.00;9780934742030,Washington : Institute for the Study of Diplomacy,1979
E335 .T8,Maps  Dorothy Thomas Tucker,Dawn like thunder  the Barbary wars and the birth of the US Navy ,,Indianapolis : Bobbs-Merrill,1963
E183.8.I7 B55,Wolf Blitzer,Between Washington and Jerusalem : a reporter's notebook ,195037081,New York : Oxford University Press,1985
E183.8.I55 B42,Charlie A Beckwith and Donald Knox,Delta force ,0151246572;9780151246571,San Diego : Harcourt brace jovanovich,1983
JQ1850.A91 D46;DS62.8 .D46,edited  Ghassan Salamé,Democracy without democrats? : the renewal of politics in the Muslim world ,1850437483;9781850437482,London ; New York : IB Tauris Publishers : In the United States of America and Canada distributed by St Martin's Press,1994
JC599.I68 J8613,Sabri Jiryis ; translated  Meric Dobson",Ḥurrīyāt al-dīmuqrāṭīyah fī Isrāʼīl English+Democratic freedoms in israel ,,Beirut : Institute for palestine studies,1972
JQ3942 .Z3,I William Zartman,Destiny of a dynasty : the search for institutions in Morocco's developing society  ,,[Columbia] : University of South Carolina Press,1964
JX1662 .K57,Henry Kissinger,Diplomacy ,0671510991;9780671510992;067165991X;9780671659912;0671713663;9780671713669,New York : Simon & Schuster,1994
E748.H35 H36,Paul J Hare,Diplomatic chronicles of the Middle East : a biography of Ambassador Raymond A Hare ,0819189359;9780819189356,Lanham,1993
JS7670.2 .T44,Béchir Tekari,Du cheikh à l'omda : institution locale traditionnelle et intégration partisane ,,[Tunis] : Faculté de droit et des sciences politiques et économiques de Tunis,1981
