child,parent,description_child,description_parent,title,author,isbn,pubname,pubyear
root,,root,,,,,,
e,root,E,root,,,,,
f,root,F,root,,,,,
j,root,J,root,,,,,
ja,j,JA,J,,,,,
jc,j,JC,J,,,,,
jf,j,JF,J,,,,,
jk,j,JK,J,,,,,
jn,j,JN,J,,,,,
jq,j,JQ,J,,,,,
js,j,JS,J,,,,,
jv,j,JV,J,,,,,
jx,j,JX,J,,,,,
jz,j,JZ,J,,,,,
f1029dta,f1000,F1029DTA,F1000,Discovering the Arabian Gulf : Canada's evolving ties with the GCC states ,Robert J Bookmiller,9948432185,Dubai : Gulf Research Center,2006
e1834d,e100,E1834D,E100,444 days : The american hostage story ,Sid Moody and the News Staff and photographers of The Associated Press,0831745703;0831745711,New York : Rutledge Press,1981
e1834d,e100,E1834D,E100,444 days : the hostages remember ,Tim Wells,015132803X;9780151328031,San Diego : Harcourt Brace Jovanovich,1985
jc328abf,jc300,JC328ABF,JC300,A brutal friendship : the West and the Arab elite ,Saïd K Aburish,0575062754;9780575062757,London : Victor Gollancz,1997
e876 avt,e8000,E876 AVT,E8000,A very thin line : the Iran-Contra affairs ,Theodore Draper,0809096137 : $27.95;9780809096138;1855925575;9781855925571,New York : Hill and Wang,1991
jc599avt,jc500,JC599AVT,JC500,A Victory turned sour : human rights in Kuwait since liberation,Theodore Draper,1564320413;9781564320414,New York,1991
jq1852ada,jq1000,JQ1852ADA,JQ1000,Administrative development an Islamic perspective ,Muhammad Al-Buraey,071030059X;9780710300591;0710303335;9780710303332,London ; Boston : KPI ; Boston,1985
e840a&d,e800,E840A&D,E800,Advise & dissent : memoirs of South Dakota and the US Senate ,James G Abourezk,1556520662;9781556520662,Chicago,1989
e183atp,e100,E183ATP,E100,After the Palestine-Israel War : limits to US and Israeli policy ,Khalil Nakhleh and Clifford A Wright,0912031018;9780912031019,Belmont,1983
e183afd,e100,E183AFD,E100,All fall down : America's tragic encounter with Iran,Khalil Nakhleh and Clifford A Wright,0394544889;9780394544885,New York : Random House,1985
e183aae,e100,E183AAE,E100,America and Egypt : from Roosevelt to Eisenhower ,Matthew F Holland,0275954749;9780275954741,Westport,1996
e183ahi,e100,E183AHI,E100,American hostages in Iran the conduct of a crisis,Matthew F Holland,300023332,London : Yale University Press,1985
e183aa,e100,E183AA,E100, Abraham A Ribicoff ; under the editorial direction of Paul H Kreisberg,Warren Christopher [and others] ; with commentaries  Oscar Schachter,American hostages in Iran : the conduct of a crisis ,0300032331;9780300032338,New Haven : Yale University Press
e183apo,e100,E183APO,E100,American public opinion toward Israel and the Arab-Israeli conflict ,Eytan Gilboa,0669134260;9780669134261,Lexington,1987
e184aah,e100,E184AAH,E100,An ancient heritage :the Arab-American minority ,Brent Ashabranner ; photographs  Paul S Conklin,0060200480;9780060200480;0060200499;9780060200497;0397324340;9780397324347;0397324359;9780397324354,New York : HarperCollins,1991
jq1830anc,jq1000,JQ1830ANC,JQ1000,Arab national communism in the Jewish state ,Ilana Kaufman,0813014786;9780813014784,Gainesville,1997
jx1974 e,jx10000,JX1974 E,JX10000, eds,Shai Feldman and Ariel Levite,Arms control and the new Middle East security environment ,9654590115;9789654590112,Jerusalem : Jerusalem Post ; Boulder
f1219a,f1000,F1219A,F1000,Aztec ,written  Elizabeth Baquedano ; photographed  Michel Zabé,0751360198;9780751360196,London : Dorling Kindersley,1993
e184btf,e100,E184BTF,E100,Before the flames : a quest for the history of Arab Americans ,Gregory Orfalea,292707487,Austin : University of Texas Press,1988
jc599btr,jc500,JC599BTR,JC500,Behind the red line : political repression in Sudan ,Human Rights Watch,1564321649;9781564321640,New York : Human Rights Watch,1996
jk468 vt,jk4000,JK468 VT,JK4000,Veil : the secret wars of the CIA 1981-1987 ,Bob Woodward,0671655434;9780671655433,London : Simon & Schuster,1987
e183bwm,e100,E183BWM,E100,Breaking with Moscow ,Arkady N Shevchenko,224028049,London : Cape,1985
e183bc,e100,E183BC,E100,Broken covent : American foreign policy and the crisis between the U.S. and Israel ,Moshe Arens,0671869647;9780671869649,Simon & Schuster,1995
jq1825bc,jq1000,JQ1825BC,JQ1000,Bureaucratic culture : citizens and administrators in Israel ,David Nachmias and David H Rosenbloom,0856647918 : £8.95;9780856647918,London : Croom Helm,1978
jc599bap,jc500,JC599BAP,JC500,By all parties to the conflict : violations of the laws of war in Afghanistan,David Nachmias and David H Rosenbloom,0938579584;9780938579588,New York,1988
e876 j,e8000,E876 J,E8000, Jr,Alexander M Haig,Caveat : realism Reagan and foreign policy ,297785176,London : Weidenfeld and Nicolson
e184cot,e100,E184COT,E100,Children of the roojme : a family's journey ,Elmaz Abinader,0393029522;9780393029529,New York : Norton,1991
jq1825caa,jq1000,JQ1825CAA,JQ1000,Communism and agrarian reform in Iraq ,Rony Gabbay,0856645672;9780856645679,London : Croom Helm,1978
jx1675 cwt,jx10000,JX1675 CWT,JX10000,Contacts with the opposition : a symposium in which 19 distinguished participants discuss experiences in Afghanistan Algeria Angola Cambodia Chile Cyprus Egypt France Greece Iran Iraq Italy Japan Korea Laos Lebanon Mexico Morocco Netherlands Pakistan Peru Philippines Saudi Arabia Spain Taiwan Thailand Turkey USSR Vietnam and Yemen ,edited  Martin F Herz ; foreword  Peter F Krogh,0934742030 : $3.00;9780934742030,Washington : Institute for the Study of Diplomacy,1979
e183bwa,e100,E183BWA,E100,Between Washington and Jerusalem : a reporter's notebook ,Wolf Blitzer,195037081,New York : Oxford University Press,1985
e183df,e100,E183DF,E100,Delta force ,Charlie A Beckwith and Donald Knox,0151246572;9780151246571,San Diego : Harcourt brace jovanovich,1983
jq1850dwd,jq1000,JQ1850DWD,JQ1000,Democracy without democrats? : the renewal of politics in the Muslim world ,edited  Ghassan Salamé,1850437483;9781850437482,London ; New York : IB Tauris Publishers : In the United States of America and Canada distributed by St Martin's Press,1994
jx1662 d,jx10000,JX1662 D,JX10000,Diplomacy ,Henry Kissinger,0671510991;9780671510992;067165991X;9780671659912;0671713663;9780671713669,New York : Simon & Schuster,1994
e748dco,e700,E748DCO,E700,Diplomatic chronicles of the Middle East : a biography of Ambassador Raymond A Hare ,Paul J Hare,0819189359;9780819189356,Lanham,1993
jv7926 1974 di,jv7000000000,JV7926 1974 DI,JV7000000000,Dossier immigration ,Yannie-France Visser,2714200168;9782714200167,Paris : Tema-éditions,1974
e183eai,e100,E183EAI,E100,Eisenhower and Israel : US-Israeli relations 1953-1960 ,Isaac Alteras,0813012058;9780813012056;0813012066;9780813012063,Gainesville : University Press of Florida,1993
ja88eop,ja80,JA88EOP,JA80,Essays on political education ,Bernard Crick and Derek Heater,0815273044;0905273036;9780905273037,Ringmer [England] : Falmer Press,1977
