child,parent,description_child,description_parent,title,author,isbn,pubname,pubyear,CB,callnumber
root,,ROOT,,root,,category,,,yes,
e,root,E,ROOT,America and United States,,category,,,yes,
f,root,F,ROOT,History of the Americas,,category,,,,
j,root,J,ROOT,Political Science,,category,,,yes,
ja,j,JA,J,Generalities,,category,,,yes,
jk,j,JK,J,Political institutions and public administration,,category,,,,
4dtahs,e11-143,4DTAHS,E11-143,444 days : The american hostage story ,Sid Moody and the News Staff and photographers of The Associated Press,0831745703;0831745711,New York : Rutledge Press,1981,yess,e1834d
4dthr,e11-143,4DTHR,E11-143,444 days : The hostages remember ,Tim Wells,015132803X;9780151328031,San Diego : Harcourt Brace Jovanovich,1985,,e1834d
atpwlt,e11-143,ATPWLT,E11-143,After the Palestine-Israel War : limits to US and Israeli policy ,Khalil Nakhleh and Clifford A Wright,0912031018;9780912031019,Belmont,1983,yess,e183atp
deltaf,e11-143,DELTAF,E11-143,Delta force ,Charlie A Beckwith and Donald Knox,0151246572;9780151246571,San Diego : Harcourt brace jovanovich,1983,,e183df
ptitaw,ja80,PTITAW,JA80,Political trends in the Arab world : the role of ideas and ideals in politics ,Majid Khadduri,0801811228;9780801811227,Baltimore : Johns Hopkins Press,1970,yes,ja84pti
teoteni,ja80,TEOTENI,JA80,The evolution of the Egyptian national image : from its origins to Ahmad Lutfi al-Sayyid ,Charles Wendell,520021118,Berkeley : University of California Press,1972,,ja84teo
totofb,jk4000,TOTOFB,JK4000,Trail of the octopus : from Beirut to Lockerbie--inside the DIA ,Donald Goddard with Lester K Coleman,074751562X;9780747515623,London,1993,,jk468tot
wftstt,e11-143,WFTSTT,E11-143,Witness : from the Shah to the secret arms deal : an insider's account of US involvement in Iran ,Mansur Rafizadeh,0688073697;9780688073695,New York : W Morrow,1987,,e183wf
tlarot,ja70,TLAROT,JA70,The loss and recovery of truth : selected writings ,Gerhart Niemeyer ; edited  Michael Henry,9781587314728;158731472X;9781587314735;1587314738,South Bend,2013,,ja71 tla
pafots,e11-143,PAFOTS,E11-143,Puro arte : Filipinos on the stages of empire ,Lucy Mae San Pablo Burns,9780814744437;0814744435;9780814725450;0814725457;9780814708132;0814708137;9780814744499;0814744494,New York University Press,2012,yes,e184pa
afgtgl,e11-143,AFGTGL,E11-143,A field guide to getting lost ,Rebecca Solnit,0143037242,Penguin,2006,yes,e169afg
tpobna,e11-143,TPOBNA,E11-143,The peopling of British North America : an introduction ,Joseph C Morton,0394757793,Vintage Books,1988,yes,e188tpo
tphotus,e11-143,TPHOTUS,E11-143,The Penguin history of the United States of America ,Hugh Brogan,014025255X,Penguin,2001,yes,e178 tph
rcwmtf,e300-453,RCWMTF,E300-453,Revolutiory characters : what made the founders different ,Gordon S Wood,1594200939;9781594200939;9780143112082;0143112082,Penguin Press,2007,yes,e302rc
tgdiaa,e11-143,TGDIAA,E11-143,The Great Depression in America : a cultural encyclopedia,William H Young and Nancy K Young,0313335206;9780313335204;0313335214;9780313335211;0313335222;9780313335228,Harcourt Education distributor; Greenwood,2007,yes,e169tgd
tlotmia,e11-143,TLOTMIA,E11-143,The life of the mind in America : from the Revolution to the Civil War ,Perry Miller,0156519909,Harcourt,1965,yes,e169tlo
tbtwat,e300-453,TBTWAT,E300-453,To begin the world anew : the genius and ambiguities of the American founders ,Bernard Bailyn,0375713085;9780375713088,Vintage,2004,yes,e302tbt
dangerousn,e11-143,DANGEROUSN,E11-143,Dangerous nation ,Robert Kagan,0375724915;9780375724916,Knopf,2006,yes,e183dt
troadj,e300-453,TROADJ,E300-453,The rise of American democracy : Jefferson to Lincoln ,Sean Wilentz,9780393058208;0393058204,Norton,2005,yes,e302tro
yrtsjo,e11-143,YRTSJO,E11-143,Yellow ribbon : the secret journal of Bruce Laingen ,L Bruce Laingen,0028810309 : $23.00;9780028810300,Washington : Brassey's (US),1992,,e183yr
rcbtsa,e201-298,RCBTSA,E201-298,Rough crossings : Britain the slaves and the American Revolution ,Simon Schama,006053916X;9780060539160;9780060539160,New York : Ecco,2006,,e269rc
eiht,ja70,EIHT,JA70,Ethics in hard times ,edited  Arthur L Caplan and Daniel Callahan,0306407906;9780306407901,New York : Plenum Press,,,ja79 eih
oopam,e11-143,OOPAM,E11-143,Out of place : a memoir ,Edward W Said,1862073708;9781862073708,London : Granta,2000,,e184oop
ctppot,ja80,CTPPOT,JA80,China : the political philosophy of the middle kingdom ,Tongdong Bai,9781780320755;1780320752;9781780320762;1780320760,London ; New York : Zed Books,2012,,ja84ct
mopcte,ja70,MOPCTE,JA70,Models of political competence : the evolution of political norms in the works of Burgundian and Habsburg court historians c 1470-1700 ,Maria Golubeva,9789004231054;9004231056;9789004250741,Leiden : Brill,2013,,ja71 mop
pwvtwa,ja80,PWVTWA,JA80,Politics without vision : thinking without a banister in the twentieth century ,Tracy B Strong,9780226777467;0226777464,University of Chicago Press,2012,yes,ja83 pwv
tpatra,jk1000,TPATRA,JK1000,Tom Paine's America : the rise and fall of transatlantic radicalism in the early republic ,Seth Cotlar,9780813931005;0813931002;9780813931067;0813931061,University of Virginia Press,2011,yes,jk171 tpa
temwr,ja70,TEMWR,JA70,The Ellen Meiksins Wood reader ,edited  Larry Patriquin,9789004230088;9004230084;9789004230095;9004230092,Extenza Turpin distributor; Brill,2012,yes,ja76 tem
slaetr,ja80,SLAETR,JA80,Settlers; liberty; and empire : the roots of early American political theory; 1675-1775 ,Craig Yirush,9780521193306;0521193303;9780521132466;0521132460,Cambridge University Press,2011,yes,ja84sla
