CallNumber,Author,Title,ISBN,PubName,PubYear,CB
F1029.5.P47 B66,Robert J Bookmiller,Discovering the Arabian Gulf : Canada's evolving ties with the GCC states ,9948432185,Dubai : Gulf Research Center,2006,no
E183.8.I55 M65,Sid Moody and the News Staff and photographers of The Associated Press,444 days : The american hostage story ,0831745703;0831745711,New York : Rutledge Press,1981,no
E183.8.I7 W45,Tim Wells,444 days : the hostages remember ,015132803X;9780151328031,San Diego : Harcourt Brace Jovanovich,1985,no
JC328.2 .A385,Saïd K Aburish,A brutal friendship : the West and the Arab elite ,0575062754;9780575062757,London : Victor Gollancz,1997,no
DS79.65 .A94,Frederick W Axelgard,A new Iraq? : the Gulf War and implications for US policy ,0275930130;9780275930134;0275930149;9780275930141,New York : Praeger,1988,no
E876 .D73,Theodore Draper,A very thin line : the Iran-Contra affairs ,0809096137 : $27.95;9780809096138;1855925575;9781855925571,New York : Hill and Wang,1991,no
JC599.K9 V53,Theodore Draper,A Victory turned sour : human rights in Kuwait since liberation,1564320413;9781564320414,New York,1991,no
JQ1852.A58 A43,Muhammad Al-Buraey,Administrative development an Islamic perspective ,071030059X;9780710300591;0710303335;9780710303332,London ; Boston : KPI ; Boston,1985,no
E840.8.A19 A3,James G Abourezk,Advise & dissent : memoirs of South Dakota and the US Senate ,1556520662;9781556520662,Chicago,1989,no
E183.8.I8 N34,Khalil Nakhleh and Clifford A Wright,After the Palestine-Israel War : limits to US and Israeli policy ,0912031018;9780912031019,Belmont,1983,no
E183.8.I55 S53,Khalil Nakhleh and Clifford A Wright,All fall down : America's tragic encounter with Iran,0394544889;9780394544885,New York : Random House,1985,no
E183.8.E35 H65,Matthew F Holland,America and Egypt : from Roosevelt to Eisenhower ,0275954749;9780275954741,Westport,1996,no
E183.8.I55 A6,Matthew F Holland,American hostages in Iran the conduct of a crisis,300023332,London : Yale University Press,1985,no
E183.8.I55 A6,Warren Christopher [and others] ; with commentaries  Oscar Schachter, Abraham A Ribicoff ; under the editorial direction of Paul H Kreisberg,American hostages in Iran : the conduct of a crisis ,0300032331;9780300032338,New Haven : Yale University Press,no
E183.8.I7 G54,Eytan Gilboa,American public opinion toward Israel and the Arab-Israeli conflict ,0669134260;9780669134261,Lexington,1987,no
E184.A65 A84,Brent Ashabranner ; photographs  Paul S Conklin,An ancient heritage :the Arab-American minority ,0060200480;9780060200480;0060200499;9780060200497;0397324340;9780397324347;0397324359;9780397324354,New York : HarperCollins,1991,no
JQ1830.A98 M545,Ilana Kaufman,Arab national communism in the Jewish state ,0813014786;9780813014784,Gainesville,1997,no
JX1974 .A69,Shai Feldman and Ariel Levite, eds,Arms control and the new Middle East security environment ,9654590115;9789654590112,Jerusalem : Jerusalem Post ; Boulder,no
F1219.73 .B37,written  Elizabeth Baquedano ; photographed  Michel Zabé,Aztec ,0751360198;9780751360196,London : Dorling Kindersley,1993,no
E184.A65 O74,Gregory Orfalea,Before the flames : a quest for the history of Arab Americans ,292707487,Austin : University of Texas Press,1988,no
JC599.S73 B44,Human Rights Watch,Behind the red line : political repression in Sudan ,1564321649;9781564321640,New York : Human Rights Watch,1996,no
JK468 .I6,Bob Woodward,Veil : the secret wars of the CIA 1981-1987 ,0671655434;9780671655433,London : Simon & Schuster,1987,no
E183.8 .S65,Arkady N Shevchenko,Breaking with Moscow ,224028049,London : Cape,1985,no
E183.8.I7 A74,Moshe Arens,Broken covent : American foreign policy and the crisis between the U.S. and Israel ,0671869647;9780671869649,Simon & Schuster,1995,yes
JQ1825.P32 .N33,David Nachmias and David H Rosenbloom,Bureaucratic culture : citizens and administrators in Israel ,0856647918 : £8.95;9780856647918,London : Croom Helm,1978,no
JC599.A3 B9,David Nachmias and David H Rosenbloom,By all parties to the conflict : violations of the laws of war in Afghanistan,0938579584;9780938579588,New York,1988,no
E876 .H35,Alexander M Haig, Jr,Caveat : realism Reagan and foreign policy ,297785176,London : Weidenfeld and Nicolson,no
E184.L34 A25,Elmaz Abinader,Children of the roojme : a family's journey ,0393029522;9780393029529,New York : Norton,1991,no
JQ1825.I773 S494,Rony Gabbay,Communism and agrarian reform in Iraq ,0856645672;9780856645679,London : Croom Helm,1978,no
JX1675 .C66,edited  Martin F Herz ; foreword  Peter F Krogh,Contacts with the opposition : a symposium in which 19 distinguished participants discuss experiences in Afghanistan Algeria Angola Cambodia Chile Cyprus Egypt France Greece Iran Iraq Italy Japan Korea Laos Lebanon Mexico Morocco Netherlands Pakistan Peru Philippines Saudi Arabia Spain Taiwan Thailand Turkey USSR Vietnam and Yemen ,0934742030 : $3.00;9780934742030,Washington : Institute for the Study of Diplomacy,1979,no
E183.8.I7 B55,Wolf Blitzer,Between Washington and Jerusalem : a reporter's notebook ,195037081,New York : Oxford University Press,1985,no
E183.8.I55 B42,Charlie A Beckwith and Donald Knox,Delta force ,0151246572;9780151246571,San Diego : Harcourt brace jovanovich,1983,no
JQ1850.A91 D46,edited  Ghassan Salamé,Democracy without democrats? : the renewal of politics in the Muslim world ,1850437483;9781850437482,London ; New York : IB Tauris Publishers : In the United States of America and Canada distributed by St Martin's Press,1994,no
JX1662 .K57,Henry Kissinger,Diplomacy ,0671510991;9780671510992;067165991X;9780671659912;0671713663;9780671713669,New York : Simon & Schuster,1994,no
E748.H35 H36,Paul J Hare,Diplomatic chronicles of the Middle East : a biography of Ambassador Raymond A Hare ,0819189359;9780819189356,Lanham,1993,no
JV7926 1974 .M46,Yannie-France Visser,Dossier immigration ,2714200168;9782714200167,Paris : Tema-éditions,1974,no
E183.8.I7 A44,Isaac Alteras,Eisenhower and Israel : US-Israeli relations 1953-1960 ,0813012058;9780813012056;0813012066;9780813012063,Gainesville : University Press of Florida,1993,no
JA88.G7 C74,Bernard Crick and Derek Heater,Essays on political education ,0815273044;0905273036;9780905273037,Ringmer [England] : Falmer Press,1977,no
JV6091 .B45,Andrew Bell-Fialkoff,Ethnic cleansing ,0333619757;9780333619759,Basingstoke : Macmillan,1996,no
F317.G8 S65,Photographed  Clyde H Smith,Florida's gulf coast ,0930527186 : $30.00;9780930527181,Old Saybrook,1991,no
JC571 .F67,Centre international réformé John Knox, Genève,Forms of solidarity : Human rights : 14-25 August 1987 ,,Genève : Centre international réformé John Knox,no
JV8749.P3 P47,Joan Peters,From time immemorial : The origins of the Arab-Jewish conflict over Palestine ,0060152656 : $19.95;9780060152659,New York : Harper & Row,1984,no
E840.5.S38 A3,written with Peter Petre,General H Norman Schwarzkopf : the autobiography : it doesn't take a hero ,0553089447;9780553089448,New York : Bantam Books,1992,no
JQ224 .M583,BB Misra,Government and bureaucracy in India 1947-1976 ,0195615972;9780195615975,Delhi ; New York : Oxford University Press,1986,no
F595.3 .F7,Ian Frazier,Great Plains ,0374217238;9780374217235,New York : Farrar Straus Giroux,1989,no
E183.8.I55 K664,Kathryn Koob,Guest of the revolution ,0840741057 : $12.95;9780840741059,Nashville : T Nelson Pub,1982,no
E840.8.N67 B73,Ben Bradlee, Jr,Guts and glory : the rise and fall of Oliver North ,1556110537;9781556110535,New York : DI Fine,no
E183.8.I55 E53,Sheldon D Engelmayer and Robert J Wagman,Hostage ,0898030846;9780898030846,Ottawa,1981,no
