child,parent,description_child,description_parent,title,author,isbn,pubname,pubyear
root,,root,,,,,,
e,root,e,root,,,,,
j,root,j,root,,,,,
ja,j,JA,J,,,,,
jb,j,JB,J,,,,,
e16pot,e10,E16POT,E10,Program of the history of American Indians , P. Armillas,,Pan American Union,1958
e16dta,e10,E16DTA,E10,Do the Americans have a common history? A critique of the Bolton theory , Lewis. Hanke,,Knopf,1964
e16tcm,e10,E16TCM,E10,The critical method in historical research and writing , H. C. Hockett,,Macmillan,1955
e16aho,e10,E16AHO,E10,A history of American history , M. Kraus,,Farrar,1937
e16hia,e10,E16HIA,E10,Historical interpretations and American historianship , J. B. Sanders,,Antioch P,1966
e161eit,e100,E161EIT,E100,Errand into the wilderness , Perry. Miller,0674261550; 9780674261556,Belkp Press,1984
e161mda,e100,E161MDA,E100,Manifest destiny and mission in American history : a reinterpretation , Frederick Merk,,Knopf,1963
e161tt,e100,E161TT,E100,ture's tion , Perry Miller,9780674605503; 0674605500,Belkp P,1967
e161tat,e100,E161TAT,E100,The American temper : patterns of our intellectual heritage , Richard David Mosier,,U of California P,1952
e161tgd,e100,E161TGD,E100,The golden day : a study in American experience and culture , Lewis Mumford,,Boni,1926
e161tio,e100,E161TIO,E100,The irony of American history , Reinhold Niebuhr,,Nisbet,1952
e161tae,e100,E161TAE,E100,The American experience : an interpretation of the history and civilization of the American people , H. B. Parkes,,Vintage Books,1959
e161rar,e100,E161RAR,E100,Radicalism and reform : the Vrooman family and American social thought; 1837-1937 , R. E. Paulson,,U of Kentucky P,1968
e161pad,e100,E161PAD,E100,Puritanism and democracy , R. B. Perry,,Vanguard P,1944
e161ja,e100,E161JA,E100,Johnny Appleseed : man and myth , R. Price,,Smith,1967
e161soa,e100,E161SOA,E100,Santaya on America : essays; notes and letters on American life; literature and philosophy , George Santaya,,Harcourt,1968
e161poa,e100,E161POA,E100,Paths of American thought , Arthur M. Schlesinger,,Chatto,1942 et
e161cta,e100,E161CTA,E100,Civil tongues and polite letters in British America , David S. Shields,9780807823514; 0807823511,U of North Caroli P,1997
e161sfi,e100,E161SFI,E100,Social forces in American history , A. M. Simons,,The Book League of America,1929
e161aa,e100,E161AA,E100,America : a re-appraisal , H. E. Stearns,,Hillman Curl,1937
e161ihi,e100,E161IHI,E100,Intellectual history in America , C. Strout,,Harper,1968
e161tai,e100,E161TAI,E100,The American image of the old world , C. Strout,,Harper,1963
e161rt,e100,E161RT,E100,Redeemer tion : the idea of America's millennial role , E. L. Tuveson,,U of Chicago P,1968
e161tus,e100,E161TUS,E100,The United States : a companion to American studies , Dennis. Welland,9780416415001; 0416415008,Methuen,1987
e161tjt,e100,E161TJT,E100,The Jeffersonian tradition in American democracy , C. M. Wiltse,,Hill & Wang,1960
e161tmo,e100,E161TMO,E100,The myth of the American frontier : its relevance to America; Cada and Australia , R. W. Winks,9780718511104; 0718511107,Leicester UP,1971
e161sat,e100,E161SAT,E100,Society and thought in America , H. Wish,,McKay,1950
e161saf,e100,E161SAF,E100,See America first : tourism and tiol identity; 1880-1940 , Marguerite S. Shaffer,9781560989530; 156098953X; 9781560989769; 1560989769,Smithsonian Institution,2001
e161wwe,e100,E161WWE,E100,With women's eyes : visitors to the New World 1775-1918 , Marguerite S. Shaffer,9780208023711; 0208023712,Archon,1993
e184pa,e100,E184PA,E100,Puro arte : Filipinos on the stages of empire ,Lucy Mae San Pablo Burns,0814744435; 9780814744437; 0814725457; 9780814725450,New York University Press,©2012
e267tmw,e200,E267TMW,E200,The men who lost America : British leadership; the American Revolution; and the fate of the empire ,Andrew Jackson O'Shaughnessy,0300191073; 9780300191073; 0300209401; 9780300209402,Yale University Press,2013
e1630ed,e1000,E1630ED,E1000,European disunion : between sovereignty and solidarity ,edited  Jack Hayward and Rüdiger Wurzel,0230367739; 9780230367739,Palgrave Macmillan,2012
e169afg,e100,E169AFG,E100,A field guide to getting lost ,Rebecca Solnit,9780143037248; 0143037242,Penguin,2006
e188tpo,e100,E188TPO,E100,The peopling of British North America : an introduction ,Joseph C Morton,9780394757797; 0394757793; 9780394553924; 0394553926,Vintage Books,1988
e178tph,e100,E178TPH,E100,The Penguin history of the United States of America ,Hugh Brogan,9780140252552; 014025255X,Penguin,2001
e302rc,e300,E302RC,E300,Revolutiory characters : what made the founders different ,Gordon S Wood,1594200939; 9781594200939; 0143112082; 9780143112082,Penguin Press,2007
e169tgd,e100,E169TGD,E100,The Great Depression in America : a cultural encyclopedia.,William H Young and Nancy K Young,0313335206; 9780313335204; 9780313335211; 0313335214,Harcourt Education distributor; Greenwood,2007
e161tlo,e100,E161TLO,E100,The life of the mind in America : from the Revolution to the Civil War ,Perry Miller,9780156519908; 0156519909,Harcourt,1965
e206fol,e200,E206FOL,E200,Friends of liberty : Thomas Jefferson; Tadeusz Kościuszko; and Agrippa Hull : a tale of three patriots; two revolutions; and a tragic betrayal of freedom in the new tion ,Gary B Nash and Graham Russell Gao Hodges,0465048145; 9780465048144,Basic Books,2008
e302tbt,e300,E302TBT,E300,To begin the world anew : the genius and ambiguities of the American founders ,Bernard Bailyn,0375713085; 9780375713088,Vintage,2004
e183dt,e100,E183DT,E100,Dangerous tion ,Robert Kagan,9780375411052; 0375411054; 0375724915; 9780375724916,Knopf,2006
e302tro,e300,E302TRO,E300,The rise of American democracy : Jefferson to Lincoln ,Sean Wilentz,9780393058208; 0393058204; 9780393329216; 0393329216,Norton,2005
e221ia,e200,E221IA,E200,Inventing America : Jefferson's Declaration of Independence ,Garry Wills,9780618257768; 0618257764,Houghton Mifflin Co,2002
e169ts,e100,E169TS,E100,The sixties : years of hope; days of rage ,Todd Gitlin,9780553372120; 0553372122,Bantam Books,1993
e169ooo,e100,E169OOO,E100,On our own : Americans in the sixties ,Douglas T Miller,9780669247770; 0669247774,DC Heath,1996
e185ptw,e100,E185PTW,E100,Parting the waters : America in the King years; 1954-63 ,Taylor Branch,9780671687427; 0671687425,Simon and Schuster,1989
e208for,e200,E208FOR,E200,Faces of revolution : persolities and themes in the struggle for American independence ,Bernard Bailyn,9780679736233; 0679736239,Vintage Books,1992
e209tro,e200,E209TRO,E200,The radicalism of the American Revolution ,Gordon S Wood,9780679736882; 0679736883,Vintage Books,1993
e197tuc,e100,E197TUC,E100,The unredeemed captive : a family story from early America ,John Demos,9780679759614; 0679759611,Vintage Books,1995
e162tic,e100,E162TIC,E100,The intellectual construction of America : exceptiolism and identity from 1492 to 1800 ,Jack P Greene,9780807820971; 0807820970,U of North Caroli P,1993
e185fpt,e100,E185FPT,E100,From plantation to ghetto ,August Meier and Elliott Rudwick,9780809047925; 0809047926,Hill & Wang,1976
