child,parent,description_child,description_parent,title,author,isbn,pubname,pubyear,CB,callnumber,,,,,
root,,ROOT,,root,,category,,,yes,root,,,,,
e,root,E,ROOT,America and United States,,category,,,yes,e,,,,,
f,root,F,ROOT,History of the Americas,,category,,,,,,,,,
j,root,J,ROOT,Political Science,,category,,,yes,j,,,,,
ja,j,JA,J,Generalities,,category,,,yes,ja,,,,,
jb,j,JB,J,Political thought,,category,,,,jb,,,,,
jk,j,JK,J,Political institutions and public administration,,category,,,,,,,,,
4dtahs,e100,4DTAHS,E100,444 days : The american hostage story ,Sid Moody and the News Staff and photographers of The Associated Press,0831745703;0831745711,New York : Rutledge Press,1981,yess,,,,,,
atpwlt,e100,ATPWLT,E100,After the Palestine-Israel War : limits to US and Israeli policy ,Khalil Nakhleh and Clifford A Wright,0912031018;9780912031019,Belmont,1983,yess,e183atp,e11-29,General,,E11-143,America
pothoai,e100,POTHOAI,E100,Program of the history of American Indians , P. Armillas,,Pan American Union,1958,,e16pot,e11-29,General,,E151-889,United States
dtahach,e100,DTAHACH,E100,Do the Americans have a common history? A critique of the Bolton theory , Lewis. Hanke,,Knopf,1964,,e16dta,e11-29,General,,E184-185.98,Elements in the population
tcmihra,e100,TCMIHRA,E100,The critical method in historical research and writing , H. C. Hockett,,Macmillan,1955,,e16tcm,e11-29,General,,E186-199,Colonial History
ahoah,e100,AHOAH,E100,A history of American history , M. Kraus,,Farrar,1937,,e16aho,e11-29,General,,e201-298,The Revolution
hiaah,e100,HIAAH,E100,Historical interpretations and American historianship , J. B. Sanders,,Antioch P,1966,,e16hia,e151-169.12,General,,E300-453,Revolution to the Civil War
eitw,e100,EITW,E100,Errand into the wilderness , Perry. Miller,0674261550; 9780674261556,Belkp Press,1984,,e161eit,e151-169.12,General,,,
pafots,e100,PAFOTS,E100,Puro arte : Filipinos on the stages of empire ,Lucy Mae San Pablo Burns,0814744435; 9780814744437; 0814725457; 9780814725450,New York University Press,2012,yes,e184pa,e201-298,The Revolution,,,
tmwlab,e200,TMWLAB,E200,The men who lost America : British leadership; the American Revolution; and the fate of the empire ,Andrew Jackson O'Shaughnessy,0300191073; 9780300191073; 0300209401; 9780300209402,Yale University Press,2013,,e267tmw,e151-169.12,General,,,
edbsas,e100,EDBSAS,E100,European disunion : between sovereignty and solidarity ,edited  Jack Hayward and Rüdiger Wurzel,0230367739; 9780230367739,Palgrave Macmillan,2012,,e1630ed,e151-169.12,General,,,
afgtgl,e100,AFGTGL,E100,A field guide to getting lost ,Rebecca Solnit,9780143037248; 0143037242,Penguin,2006,yes,e169afg,e186-189,Colonial History,,,
tpobna,e100,TPOBNA,E100,The peopling of British North America : an introduction ,Joseph C Morton,9780394757797; 0394757793; 9780394553924; 0394553926,Vintage Books,1988,yes,e188tpo,e171-180,History: General,,,
