CallNumber,Author,Title,ISBN,PubName,PubYear,CB
E 101 ABU, David. Abulafia,The discovery of mankind : Atlantic encounters in the age of Columbus ,0300125828; 9780300125825,Yale University Press,2008,no
E 101 Des, Jean. Descola,Les conquistadors ,9782253023869; 2253023868,Fayard,1954,no
E 101 Fir, Jean. Descola,First Images of America : the Impact of the New World on the Old ,9780520030107; 0520030109,U of California P,1976,no
E 101 GRE, Stephen Greenblatt,Marvelous possessions : the wonder of the New World ,9780198123828; 0198123825; 9780198122661; 0198122667,Clarendon Press,1991,no
E 101 Mee, Stephen Greenblatt,The meeting of two worlds : Europe and the Americas 1492-1650 ,9780197261347; 0197261345,OUP for the Academy,1993,no
E 101 Mor, Samuel Eliot Morison,The European discovery of America : the northern voyages; A.D. 500-1600 ,,OUP,1971,no
E 101 Mor, Samuel Eliot Morison,The great explorers : the European discovery of America ,9780195023145; 0195023145,OUP,1978,no
E 101 Nor, Samuel Eliot Morison,The Northmen; Columbus and Cabot; 985-1503.,,Barnes,1959,no
E 101 OSU, Dan. O'Sullivan,The age of discovery; 1400-1550 ,9780582353725; 0582353726,Longman,1984,no
E 101 Ole, T. J. Oleson,Early voyages and northern approaches; 1000-1632 ,,Oxford UP,1964,no
E 101 Qui, David B. Quinn,North America from earliest discovery to first settlements : the Norse voyages to 1612 ,9780060134587; 0060134585,Harper & Row,1977,no
E 101 Qui, David B. Quinn,North American discovery; circa 1000-1612 ,9780061392443; 0061392448,Harper & Row,1971,no
E 101 Rac, David B. Quinn,Race; discourse and the origin of the Americas : a new world view ,9781560985075; 1560985070,Smithsonian Institute P,1995,no
E 101 TUR, Frederick W. Turner,Beyond geography : the western spirit against the wilderness ,0813519098; 9780813519098,Rutgers University Press,1992,no
E 103 Fel, Barry. Fell,America B.C. : ancient settlers in the New World ,9780704503274; 0704503271,Wildwood House,1978,no
E 103 MAN, Charles C. Mann,1491 : the Americas before Columbus ,9781862078765; 1862078769,Granta,2006,no
E 105 Mow, F. Mowat,Westviking : the ancient Norse in Greenland and North America ,,Little Brown & Co,1965,no
E 109 Wel, Richard. Deacon,Madoc and the discovery of America : some new light on an old controveersy ,,Muller,1966,no
E 109 Wel, O. A. A. A. Fadipe-Ogundugba,Madoc : the making of a myth ,9780413394507; 0413394506,Eyre Methuen,1979,no
E 109.A35 Van, Ivan. Van Sertima,They came before Columbus : the African presence in ancient America ,9780394402451; 0394402456,Random,1977,no
E 110 OGO, Edmundo. O'Gorman,The invention of America : an inquiry into the historical ture of the New World and the meaning of its history ,9780837164700; 0837164702,Greenwood P,1972,no
E 110 STA, David E. Stanrd,American holocaust : the conquest of the New World ,9780195075816; 0195075811; 9780195085570; 0195085574,Oxford University press,1992,no
E 110 See, David E. Stanrd,Seeds of change : a quincentennial commemoration ,9781560980360; 1560980362,Smithsonian Institution P,1991,no
E 111 Duf, C. Duff,The truth about Columbus and the discovery of America ,,Jarrolds,1957,no
E 111 Fer, Felipe. Feŕndez-Armesto,Columbus ,9780192852601; 0192852604,OUP,1991,no
E 111 Irv, Washington Irving,The life and voyages of Christopher Columbus ,,Nelson,1897,no
E 111 Mor, Samuel Eliot Morison,Admiral of the Ocean Sea : a Life of Christopher Columbus ,,Little Brown,1942,no
E 111 Mor, Samuel Eliot Morison,Christopher Columbus; mariner ,,Faber,1956,no
E 111 PHI, William D. Phillips,Worlds of Christopher Columbus ,9780521446525; 052144652X,Cambridge University Press,1993,no
E 111 Sal, Kirkpatrick. Sale,Conquest of paradise : Christopher Columbus and the Columbian legacy ,9780340533833; 0340533838,Hodder and Stoughton,1990,no
E 111 Wil, John Noble. Wilford,The mysterious history of Columbus : an exploration of the man; the myth; the legacy ,9780679404767; 0679404767,Knopf,1991,no
E 111 You, F. Young,Christopher Columbus and the new world of his discovery ,,Richards,1911,no
E 112 Bus, Claudia L. Bushman,America discovers Columbus : how an Italian explorer became an American hero ,9780874515763; 0874515769,UP of New England,1992,no
E 118 Col, Christopher. Columbus,"The ""diario"" of Christopher Columbus's first voyage to America 1492-1493 ",9780806123844; 0806123842,U of Oklahoma P,1989,no
E 118 Col, Christopher. Columbus,The four voyages of Christopher Columbus : being his own log-book; letters and dispatches with connecting rrative drawn from the Life of the Admiral by his son Herndo Colon and other contemporary historians ,,Penguin,1969,no
E 118 Col, Christopher. Columbus,The jourl ,,Hakluyt Society,1960,no
E 118 Jan, L. C. Jane,Select documents illustrating the four voyages of Columbus.. ,,Hakluyt Society,1930,no
E 118 SYM, Geoffrey. Symcox,Christopher Columbus and the enterprise of the Indies : a brief history with documents ,9781403968074; 1403968071,Palgrave Macmillan,2005,no
E 121 BRE, J. B. Brebner,The Explorers of North America; 1492-1806 ,,Black,1964,no
E 121 BRE, Christopher. Columbus,The four voyages of Christopher Columbus ,9780140442175; 0140442170,Penguin,1969,no
E 121 Hem, John Hemming,The search for El Dorado ,9780718117542; 0718117549,Michael Joseph,1978,no
E 121 Lor, S. Lorant,The New World : the first pictures of America...with contemporary rratives of the Huguenot settlement in Florida; 1562-1565; and the Virginia colony; 1585-1590 ,,Duell,1946,no
E 121 Mor, Samuel Eliot Morison,The European discovery of America : the southern voyages; A.D.1492-1616 ,,OUP,1974,no
E 121 Par, J. H. 1914- (John Horace) Parry,The discovery of South America ,9780236176755; 0236176757,Elek,1979,no
E 121 Sau, C. O. Sauer,Sixteenth century North America : the land and the people as seen by the Europeans ,9780520018549; 0520018540,U of California P,1971,no
E 121 See, Patricia. Seed,Ceremonies of possession in Europe's conquest of the New World; 1492-1640 ,9780521497572; 0521497574,CUP,1996,no
E 123 Dav, Miles H. Davidson,Columbus then and now : a life reexamined ,9780806129341; 0806129344,U of Oklahoma P,1997,no
E 123 Ger, Antonello. Gerbi,ture in the New World : from Christopher Colombus to Gonzalo Ferndez de Oviedo ,9780822935162; 0822935163,U of Pittsburgh P,1986,no
E 123 Gib, Charles Gibson,Spain in America ,,Harper,1966,no
E 123 Kir, F. A. Kirkpatrick,The Spanish conquistadores ,,Black,1946,no
E 123 LIV, Massimo. Livi Bacci,Conquest : the destruction of the American Indios ,0745640001; 9780745640006; 074564001X; 9780745640013,Polity,2008,no
E 123 MAC, Colin M. MacLachlan,Spain's empire in the New World : the role of ideas in institutiol and social change ,9780520074101; 0520074106,University of California Press,1991,no
E 123 Mac, Lyle N. McAlister,Spain and Portugal and the New World; 1492-1700 ,9780196480466; 0196480469,OUP,1984,no
E 123 Spa, Lyle N. McAlister,Spanish explorers in the southern United States; 1528-1543.,,Barnes,1959,no
E 123 TOD, Tzvetan Todorov,The conquest of America : the question of the other ,9780060151805; 0060151803,Harper & Row,1984,no
E 125 Las, Arthur Helps,The life of Las Casas ,,Bell,1896,no
E 125 Sot, R. B. 1852-1936. (Robert Bontine) Cunninghame Graham,Herndo de Soto : together with an account of one of his captains; Goncalo Silvestre ,,Heinemann,1903,no
